title,lyrics,release_date,Album,release_year,Word Count
Steal My Girl,  zayn queen since sixteen want things dream dreams alright alright cause calls love calls alright alright  niall know know know sure  everybody wanna steal girl everybody wanna take heart away couple billion whole wide world find another cause belongs everybody wanna steal girl everybody wanna take heart away couple billion whole wide world find another cause belongs post  liam yeah alright belongs  liam louis liam louis kisses like cream walk mean every drops jeans alright alright exist shine world turn alright alright  niall know know know sure  everybody wanna steal girl everybody wanna take heart away couple billion whole wide world find another cause belongs everybody wanna steal girl everybody wanna take heart away couple billion whole wide world find another cause belongs post  liam yeah alright bridge harry knows knows that never before knows knows that never gonna another take love  zayn everybody wanna steal girl wants steal girl everybody wanna take heart away wants take love away couple billion whole wide world find another cause belongs well find another cause belongs everybody wanna steal girl everybody wanna take heart away couple billion whole wide world find another cause belongs yeah post  niall zayn yeah alright yeah alright belongs belongs yeah yeah alright belongs,2014-09-29,FOUR (The Ultimate Edition),2014.0,216
No Control, louis  niall harry stained coffee just fingerprint lipstick enough sweet still trace innocence pillow case  louis waking beside loaded contain anymore yours control control powerless care obvious enough pedal down eyes closed control post  louis  liam harry taste tongue want wash away night before heat could stay right burn  louis waking beside loaded contain anymore yours control control powerless care obvious enough pedal down eyes closed control bridge zayn lost senses defenseless perfume holding ransom sweet sour heart devoured lying here count hours  louis waking beside loaded contain anymore yours control control powerless care obvious enough pedal down eyes closed control  louis control control powerless care obvious enough pedal down eyes closed control,2014-11-17,FOUR (The Ultimate Edition),2014.0,121
Infinity, niall down earth keep falling know hurts going faster million miles hour tryna catch breath somehow down earth like frozen world still turns stuck motion wheels keep spinning round moving reverse  liam step closer being steps when everybody wants everybody wants  harry many nights take count stars that time would take heart baby ever wanted truth yeah yeah many nights wished someone would stay awake hoping okay never counted mine tried know would feel like infinity infinity infinity yeah infinity  liam eyes shine unless there something burning bright behind since went away there nothing left mine feel runnin time  louis louis liam step closer being steps when everybody wants everybody wants  harry many nights take count stars that time would take heart baby ever wanted truth yeah yeah many nights wished someone would stay awake hoping okay never counted mine tried know would feel like infinity infinity infinity yeah post  harry liam infinity infinity infinity infinity infinity infinity infinity infinity infinity infinity  bridge  harry many nights take count stars that time would take heart baby ever wanted truth yeah yeah ever wanted truth yeah yeah many nights wished someone would stay awake hoping okay yeah yeah never counted mine tried know would feel like infinity infinity infinity infinity infinity yeah infinity,2015-09-22,Made In The A.M. (Ultimate Fan Edition) [Japan Import],2015.0,220
Olivia,spoken  forty three then gotta play opposite part means rest four bars right stop there right  niall remember giving when told give enough friends saying leaving lyin shirt just thinking went wrong this stain wine bleeding love  niall please believe things mean love love love love love olivia  harry live long olivia idolizing light eyes olivia live long olivia  liam feelin cause feelin walkin time irrelevant seeing consequences falling something nightmares about reasons cryin  liam please believe things mean love love love love love olivia  harry live long olivia idolizing light eyes olivia live long olivia bridge harry when alone live imagination summertime butterflies belong creation love love  louis harry live long olivia idolizing light eyes olivia live long olivia olivia  harry thank,2015-11-13,Made In The A.M. (Ultimate Fan Edition) [Japan Import],2015.0,132
Best Song Ever, harry maybe walked straight heart stole through doors past guards just like already owned  zayn said give back said never wildest dreams  danced night best song ever knew every line remember goes know forget cause danced night best song ever post  think went think went yeah yeah yeah think goes  liam harry said name georgia rose daddy dentist said dirty mouth dirty mouth kissed like meant  niall said take home said never wildest dreams  zayn danced night best song ever knew every line remember goes know goes know forget cause danced night best song ever post  think went think went yeah yeah yeah think goes bridge louis zayn harry know know know remember know know know remember know know know remember yeah yeah yeah know know hope remember danced yeah yeah yeah yeah yeah yeah danced three  zayn harry danced night best song ever danced knew every line remember knew every line goes know forget cause danced night danced danced best song ever goes something like this danced night best song ever yeah yeah yeah knew every line remember yeah yeah yeah goes know forget yeah yeah yeah know forget cause danced night best song ever yeah yeah yeah best song ever post  think went think went yeah yeah yeah think goes  zayn best song ever best song ever best song ever best song ever,2013-07-22,Midnight Memories (Japan Edition),2013.0,236
A.M., harry stay till favourite conversations always made yeah yeah  niall feels like could forever tonight break clocks forget time there could world goin outside raised part town scars ground remember used kick around wastin time  harry stay till favourite conversations always made cause know sayin swimmin round glasses talkin asses like gonna make yeah yeah  liam feels like could forever right wanna sleep cause dreamin loud trying behave know never learnt raised part town scars ground remember used kick around wasting time  louis stay till favourite conversations always made cause know sayin swimming round glasses talkin asses like gonna make yeah yeah bridge harry harry liam know always coming back place know know always gonna look face know  harry louis stay till favourite conversations always made cause know sayin swimmin round glasses talkin asses like gonna make yeah yeah  louis harry stay till know always coming back place stay till yeah yeah know stay till know always gonna look face stay yeah yeah,2015-11-13,Made In The A.M. (Ultimate Fan Edition) [Japan Import],2015.0,170
Walking in the Wind, harry week said believe never lost look find region summer stars fact right goodbye means already necessity apologies baby none  niall good times good tricks sleeve goodbyes bittersweet face again  find yeah find places never been reasons understand walking wind walking wind  louis yesterday went celebrate birthday friend raised glasses make toast realised missing  liam good times wore hearts sleeve goodbyes bittersweet face again  find yeah find places never been reasons understand walking wind walking wind bridge harry know alright child just close eyes side time needing yeah  harry find yeah find places never never been reasons understand understand walking wind wind walking wind walking wind walking wind,2015-11-13,Made In The A.M. (Ultimate Fan Edition) [Japan Import],2015.0,115
Love You Goodbye, liam inevitable everything that good comes impossible know still friends yeah know sayin wanna hurt well maybe show little mercy look know come apologise  harry wearing walk life even though over stay tonight tomorrow mine give last time baby love goodbye  niall unforgettable together held whole world hands unexplainable love could understand yeah know there nothing change something negotiated heart already breaking baby twist knife  wearing walk life even though over stay tonight tomorrow mine give last time baby love goodbye post  baby love goodbye bridge louis taste lips bring back places nights because least could right breakdown harry wearing walk life  harry even though over stay night yeah tomorrow mine give last time baby love goodbye  harry baby love goodbye baby love goodbye,2015-11-13,Made In The A.M. (Ultimate Fan Edition) [Japan Import],2015.0,131
Fool’s Gold, niall like crow wire shinin distraction makes home like boat water raise waves calm mind every time  harry know heart constant star  harry yeah first done falling fool gold knew turned everyone regret falling fool gold  liam first admit reckless lost beauty feet front  louis know heart moving part  harry yeah first done falling fool gold knew turned everyone regret falling fool gold bridge zayn yeah know love real that feels that feel  first done falling fool gold knew turned everyone regret falling fool gold  harry,2014-11-17,FOUR (The Ultimate Edition),2014.0,94
Over Again, liam niall both said never leave cause hands like shirt tongue tied three words cursed running thoughts make feet hurt bodies intertwined lips feeling since went solo hole middle heart like polo joke again  pretending start like this tight grip then kiss mend broken heart might miss everything said could lend broken parts that might like this give heart start again  harry louis take road days clothes know make pain stop minute know tell heart tell mind body spirit make tears fall like showers british whether together apart remove masks admit regret start  pretending start like this tight grip then kiss mend broken heart might miss everything said could lend broken parts that might like this give heart start again bridge zayn never know make never show weakness letting guess still hard seed sown really want alone breakdown liam pretending start like this tight grip then kiss mend broken heart might miss everything said  zayn harry could lend broken parts that might like this give heart heart start pretending start start like this tight grip yeah then kiss mend broken heart mend broken heart yeah might miss everything said could lend broken parts that might like this give heart start,2012-11-09,Take Me Home (Special Deluxe Edition),2012.0,205
