title,lyrics,release_date,Album,release_year,Word Count
Still, mind complicated find hard rearrange find somehow overreacting lately find hard sorry make somehow  know stars shine night  tell want thousand miles away started standing trying honest honesty means telling truth well still love  miscalculate this back basics forget what come gone cause hate like this breaking nights like this shooting stars gold  tell want thousand miles away started standing trying honest honesty means telling truth then guess lost focus killing could like this standing trying honest honesty means telling truth well still love bridge alright alright alright alright  tell want thousand miles away started standing trying honest honesty means telling truth guess lost focus killing could like this standing trying honest honesty means telling truth well still love,2020-03-13,Heartbreak Weather 5,2020,125
Mirrors, closed door hides behind face nobody knows feels skin touch floor wants fight eyes tired nobody side wants feel like before  looks mirror wishing someone could hear loud need love hold closer night just enough  need love hold closer night just enough feel body come alive when bones start breakin heart starts shakin need love need love  coffee cold turned around said hope know beautiful ever told little walks away slowly breaks smile skies blue while  looks mirror wishing someone could hear loud  need love hold closer night just enough feel body come alive when bones starts breakin heart starts shakin need love need love post  woah woah bridge closed door hides behind face nobody knows feels skin touch floor  need love hold closer night just enough feel body come alive when bones starts breakin heart starts shakin need love need love  woah woah,2017-10-20,Flicker (Target Exclusive/Japanese Edition),2017,153
Paper Houses, three four  house broken hearts made love stacks cards tried hold tight cause knew love hard find  paper houses reach stars till break scatter worlds apart yeah paid price owned scars climb fall  held cards built high close light turn head learned breathe  paper houses reach stars till break scatter worlds apart yeah paid price owned scars climb fall interlude yeah paper houses reach stars till break scatter worlds apart bridge wanna lose touch wanna hurt much feel slippin away  yeah paid price owned scars climb fall  climb fall,2017-10-20,Flicker (Target Exclusive/Japanese Edition),2017,96
No Judgement, barefoot bottle wine stay tonight change when around ahead what your mind mind  when judgement anyone else prove nothin yourself when judgement everyone else prove nothin when judgement post  prove nothin judgement  breakfast mornin slip night give warnin cause nothin hide nothin hide  even though talk couple months yeah like lose time could lover shoulder whoever like  when judgement anyone else prove nothin yourself when judgement everyone else prove nothin when judgement post  prove nothin judgement bridge hope never change even though know move again keep secrets safe until time find alone again  when judgement judgement everyone else prove nothin yourself when judgement judgement everyone else prove nothin when judgement  prove nothin yeah judgement prove nothin judgement,2020-02-07,Heartbreak Weather 5,2020,126
On My Own, everybody somebody wanna alone well need much  drink till empty stay till dead wake midday marry kiss women punched head could offer world baby take instead yeah yeah  long came devil caught kind type chelsea baby drives crazy there thing mind  drink till empty stay till dead wake midday marry kiss women punched head could offer world baby take instead yeah yeah bridge around then decline take heart your company fine better mine interlude everybody somebody wanna alone  drink till empty stay till dead wake midday marry kiss women punched head could offer world baby take instead yeah yeah well drink till empty stay till dead wake midday marry kiss women punched head could offer world baby take instead,2017-10-20,Flicker (Target Exclusive/Japanese Edition),2017,124
You and Me, young heart wild free know starts ends hard road know going back cause kids trying start fight matter yeah alright asking patience please cause know what come coming  time never side would wait lead selfish life cause that need what make believe guitar solo  from distance hear worry darlin lose sleep tonight promise guarantee that road  time never side would wait lead selfish life cause that need what make believe guitar solo  when look line wanna always known start ends,2017-10-20,Flicker (Target Exclusive/Japanese Edition),2017,85
Small Talk, lookin night terrified know baby wrong crazy moon eyes paralyzed baby wrong crazy  like wolves wild passion much burned fire walking wire nothin feels higher when look eyes  tell want know want skip small talk straight room thinkin alone just nothin small talk gets  turn around walkin believe baby someone come fool mind hide stare look  wanna wild passion much burned fire walking wire nothin feels higher when look eyes  tell want know want skip small talk straight room thinkin alone just nothin small talk gets post  just nothing small talk just nothing bridge like wolves wild passion much burned fire yeah  tell want know want skip small talk straight room thinkin alone just nothin small talk gets tell want know want know want skip small talk straight room straight room thinkin alone just nothin small talk gets  just nothing small talk want just nothing yeah small talk,2020-03-13,Heartbreak Weather 5,2020,157
The Show, life like board game time mistakes heartbreaks crime there light creepin broken skies plans better hurry cause time flies  hold tight ready ride  everythin easy nothin ever broke everythin simple would know tears fake show paint smile yeah would know good though  like dance floor time life like dance floor time dancin stars every night gravity comes wraps arms around again games party ends  hold tight ready ride  everythin easy nothin ever broke everythin simple would know tears fake show paint smile yeah would know good though bridge lookin whole lives blinded lights lookin whole lives blinded lights  still ready ride  everythin easy nothin ever broke everythin simple would know tears fake show paint smile yeah would know everythin easy nothin ever broke everythin simple would know tears fake show paint smile yeah would know good though  good hold tight ready ride,2023-06-09,The Show: The Encore,2023,151
Dear Patience, dear patience share drink pressure dear patience cause last time that talked seems like forever ever  feels like even know just stars lonely  show face anxious hear saying saying cause fall fast blazing hear saying  dear patience pour heart keep promise cause situation like mountain that weighing conscience honest  feels like even know even know just stars lonely  show face anxious hear saying saying cause fall fast blazing hear saying bridge make time disappear hope find dear make time disappear hope find dear  patience share drink pressure dear patience cause last time talked seemed like forever ever  show face show face anxious hear saying saying cause fall fast fall fast blazing hear saying  dear patience,2020-03-13,Heartbreak Weather 5,2020,124
Since We’re Alone, like rain sunny there shadow behind face tell running from know made afraid know best yeah everything want  anyone anyone hiding hiding talk skin deep trying yeah  since alone yeah show heart hand swear break apart since alone show lost light okay dark  thoughts running head things think better left unsaid just wanna know came from would wanna play someone else love best yourself yeah everything want  anyone anyone hiding hiding talk skin deep trying yeah  since alone yeah show heart hand swear break apart yeah since alone show lost light okay dark bridge since alone lone lone alone lone lone yeah show heart since alone lone lone alone  since alone yeah show heart show heart hand swear break apart break apart since alone show show lost light okay dark dark  since alone lone lone alone lone lone show heart since alone lone lone yeah alone alone show heart since alone lone lone alone lone lone since alone lone lone alone,2017-10-20,Flicker (Target Exclusive/Japanese Edition),2017,169
Everywhere, walk room quiet catch eyes blink eyelid feels like world locked island island without waves  forget mother thinks best erase disappear  feels like every time turn corner standin right there over shoulder everywhere swear hard think hard breathe everywhere when think alone heart control lovin fair everywhere  ground beneath feet colder face people know feels like world twistin stuck place  forget mother thinks best erase disappear  feels like every time turn corner standin right there over shoulder everywhere swear hard think hard breathe everywhere when think alone heart control lovin fair everywhere bridge everywhere everywhere still here still here  feels like every time turn corner standin right there swear hard think hard breathe feels like every time turn corner standin right there over shoulder everywhere yeah swear hard think hard breathe everywhere when think alone alone heart control lovin fair everywhere everywhere,2020-03-13,Heartbreak Weather 5,2020,149
