title,lyrics,release_date,Album,release_year,Word Count
BeFoUr, done before like this  drink drunk feel right funk there somethin want take right wrongs gonna stay zone tired pickin bone bothered fight more  numb roof fire just give proof livin wire numb roof fire just give proof livin wire  wanna wanna wanna gotta wanna want shame face post  done before like this like this  time move many hours gone heart beats pump blood strings pull tongue cheek pardon speak tune chords into song  numb roof fire just give proof livin wire  wanna wanna wanna gotta wanna wanna want shame face post  done before like this like this bridge flashing lights  wanna wanna wanna gotta wanna want yeah shame face wanna wanna wanna wanna gotta wanna want shame face post  done never done like this baby like like this like like this baby done never done like this baby like like this like like this this,2016-03-25,Mind of Mine (Bonus Edition),2016,157
​fOoL fOr YoU, this love tainted need hate caught dream movie scene know mean  when dark turns mist resist  cause fool things fool things things things things  when lookin like this resist know sometimes hide time cause gonna defeat believe believe  cause fool things fool things things bridge know know given chance again cause help myself cause stop myself love bein fool  cause fool things fool things things  this love tainted,2016-03-25,Mind of Mine (Bonus Edition),2016,75
Outside, yeah yeah yeah yeah yeah yeah yeah  wrongs make right when left least tried back tonight yeah decide  leave life outside leave life outside leave life outside  know always head things must said hurts think someone else bein know innocent love real hope hurts think refrain shirt wearing that favorite first time touched could save  wrongs make right when left least tried back tonight yeah decide  leave life outside leave life outside leave life outside  things through snuck parents just roof much yeah starin perfect view keep want when look think refrain shirt wearing that favorite damn really thought would make yeah  wrongs make right when left least tried least tried yeah back tonight back decide  leave shit outside leave shit outside leave life outside,2021-01-15,Nobody Is Listening,2021,134
​dRuNk, late nights eyes amnesia late nights eyes amnesia need  right straight intoxicated true buzzin feel laced coming different phase  another like supposed take back take shot wasted every night gone every song faded every night dancin night long  drunk summer yeah yeah drunk summer yeah yeah drunk summer yeah yeah yeah drinkin flowin rollin falling down post  late nights eyes amnesia need  right emotional lose control hope said much guess always push luck  another like supposed take back take shot wasted every night gone every song faded every night dancin night long fakin night long  drunk summer yeah yeah drunk summer yeah yeah love drunk summer yeah yeah yeah woah drinkin flowin rollin falling post  late nights eyes eyes amnesia late nights baby eyes amnesia need need baby  drunk drunk drunk drunk drunk drunk drunk drunk drinks drunk drunk drunk drunk drunk drunk drunk drunk drunk summer drunk summer goin around yeah,2016-03-25,Mind of Mine (Bonus Edition),2016,162
There You Are, only know know only forgive when sorry  need broken when fixed need well sick friends rely come through they like river  falling losing myself hear calling  there there open arms there there  whispers background behind closed doors mess without more little drunk that went yeah sober when floor  falling losing myself hear calling  there there open arms there there post  only know know only forgive sorry even messed there bridge need cold need young when  there there open arms there there post  only know know only forgive sorry even messed there  need need need need when caught crowds when clouds when caught crowds when clouds there,2018-12-11,Icarus Falls (Reissue),2018,117
Sweat, stayin night losing track time reaching higher heights only thing mind only thing mind  touch like give attention dive ocean love show much want  drippin body like gold slowly steamin windows skin skin again sweat sweat love tear clothes slowly steamin windows skin skin again sweat sweat  damn could lost heartbeat damn body take baby love baby  touch like give attention dive ocean love show much want  drippin body like gold slowly steamin windows skin skin again sweat sweat bridge could lost heartbeat lost body take eyes baby love baby  drippin body like gold slowly steamin windows skin skin again sweat sweat love tear clothes slowly steamin windows skin skin again sweat sweat,2021-01-15,Nobody Is Listening,2021,120
LIKE I WOULD, what while talking bout style thought what lighting cold hearted cold hearted know late wired face inspired guess good cold hearted cold hearted  probably gonna sound wrong promise last long never back thought like know that  touch like love like would know body right love like would love like would  okay want cause want been thinkin over through stop wasting time messing mind cold hearted cold hearted  probably gonna sound wrong promise last long never back thought like know that  touch like love like would know body right love like would love like would like would touch like love like would know body right love like would love like would like would bridge love like would love like could know body know body  touch like love like would know body right love like would love like would like would touch like would touch like love like love like would know body right love like would love like would like would,2016-03-10,Mind of Mine (Bonus Edition),2016,167
Too Much, zayn think time flies took digits back think fucked flashback leave mind kinda sidetracked felt good feel think know take back there nothin  timbaland must addiction wanted expect fall must affliction wanted call call keepin night keepin night must addiction there nothin  zayn timbaland guess want much much want love lust love enough yeah that need touch that need touch yeah that need touch that need touch yeah that need touch wiki  zayn never meant though gotta keep then again fuck know always mind felt good feel think know take back there nothin  timbaland must addiction wanted expect fall must affliction wanted call call keepin night keepin night must addiction there nothin  zayn timbaland guess want much much want love lust love enough yeah that need touch that need touch yeah that need touch that need touch yeah that need touch wiki bridge zayn when room becomes game play white lines seem turn snakes guess turn white lies face know know place nothin nothin nothin  zayn timbaland guess want much much want love lust love enough yeah that need touch that need touch yeah that need touch that need touch yeah that need touch wiki,2018-08-02,Icarus Falls (Reissue),2018,202
​lUcOzAdE,  sippin pink lucozade blazin found haze seeing blacks greys hoping basket sways left right talk shit night does make right smoke maybe seeing shit seeing pain inside house fear  even wanna know things hear quick headlights shine bright fuckin deer wishing ambition position fishing long movie wrong breathe pollution solution making shit confusin  winnin losin about path choosin time heals pain promotes self soothin when scars gone bruising wanna take watches chains gold rings gettin caught feelings bring lack sanity losing touch reality smoking much starting clarity travelin still lookin  bulls emotions splattered pattern even begin spot shit never happened lies eyes nothing truth leave mouth tryna fuckin scream words come tryna fuckin scream words come  older told meant takes three anyway hope leaving soon started elephant room disguised perfume smell consumes takes mind search world never find everything done there need pace need stamina shit girl probably woulda kept runnin outwit cause cunnin that outfit cause stunnin begging cause losing mage feeling type explain fuck goin think wrong when told,2016-03-25,Mind of Mine (Bonus Edition),2016,177
​rEaR vIeW, heart mine search cause time help find words melodies memories stories sound absurd tell lies  long look eyes wherever follow behind  heard things done wars heard love lost began heard miles gone just start again heard through sounds like need friend friend  please wait coming home tonight wanna love  long look eyes wherever follow behind behind  heard things done wars heard love lost began heard miles gone just start heard through sounds like need friend friend bridge never doubted myself doubted tired looking myself rear view  heard things done wars heard love lost began heard miles gone just start heard through sounds like need friend friend,2016-03-25,Mind of Mine (Bonus Edition),2016,113
​sHe, puts spirit nightcap always knows crowd puts mouth round cigarette cause likes that always dance rainin when startin baby looks like waitin makin time slow show table  bright lights fadin feels right crazy bright lights fadin feels right crazy  wants somebody love hold wants somebody love right wants somebody love kiss wants somebody love right  cryin loves holdin hands leave cause baby wanna lonely says want hold  bright lights fadin feels right crazy bright lights fadin feels right crazy  wants somebody love hold wants somebody love right wants somebody love kiss wants somebody love right post  right right bridge right right right right yeah right right right right right right right right right right right right  wants somebody love hold wants somebody love right right wants somebody love hold wants somebody love right wants somebody love kiss wants somebody love right,2016-03-25,Mind of Mine (Bonus Edition),2016,149
INTERMISSION: fLoWer,urdu urdu phonetic mohabbat phool khilay dill sukoon miley mujhe mujhe mujhe english translation until flower love blossomed this heart peace give heart give heart give heart,2016-03-25,Mind of Mine (Bonus Edition),2016,27
TiO, taste mouth leave freak like work somethin believin like cheatin  wanna watch take take makeup baby take wanna watch take take clothes watch take take post  take take baby take take take take baby take  push wall take easy like hard like need naked explore inner secrets  want watch take take makeup baby take wanna watch take take clothes watch take post  take take baby take take take take baby take take take baby take take take baby take baby take bridge wait wait turned mine wait turned  wanna watch take take makeup baby take wanna watch take take take clothes watch take wanna watch take wanna take makeup baby take just take baby wanna watch take take take clothes watch take,2016-03-25,Mind of Mine (Bonus Edition),2016,129
Unfuckwitable, unfuckwithable world that shoulder cold unfuckwithable  tired fake friends fake love know time show found higher need inspired vibe life design your sentiment irrelevant cause again cause time life  unfuckwithable world that shoulder cold unfuckwithable bridge nobody take home yeah worth weight gold forget whatever told unfuckwithable unfuckwithable  they said wouldn shit shit thinkin always cool when never even mind happens time probably thought turn water wine water wine happens time  unfuckwithable world that shoulder cold unfuckwithable,2021-01-15,Nobody Is Listening,2021,82
Rainberry, rainberry please think knees worry know know even start truth break heart worry already know  many bones inside closet thought buried deep never minute peace sleep  rainberry falling blood lips eyes heavy somebody else missed tell what going said rainberry somebody else somebody else  eyes cause work time already dried mine drown yours wash hands change past those stories shit mean sure  many bones inside closet thought buried deep never minute peace sleep  rainberry falling blood lips eyes heavy somebody else missed tell what going said rainberry somebody else somebody else bridge rainberry please rainberry rainberry please  many bones inside closet thought buried deep never minute peace sleep  rainberry falling blood lips eyes heavy somebody else missed tell what going said rainberry somebody else somebody else,2018-11-30,Icarus Falls (Reissue),2018,134
River Road, define other stand pillar pillow fairly other call lover drinks liver cried river full tears post  ever hope something else ever hope something else  breeze outside window turned color know again leaves turned tint orange answers inside myself  what leave behind where choose truth tired falling when floating closer  control outcomes reins ride rhythm doubled vision fairly feeling searchin meaning still believe stopped ceiling years post  lightly floating ecstasy ever hope something else  breeze outside window turned color know again leaves turned tint orange answers inside myself  what leave behind where choose tell truth tired falling when floating closer  define other stand pillar pillow call lover drinks liver cried river full tears post  ever hope something else,2021-01-15,Nobody Is Listening,2021,127
Common, always lookin behind fences always felt isolated know defensive find refrain damned this somethin real somethin right never love never felt  need chest warm time take away breath written lips nothin common bout ordinary world nothin enough everything gray mistakin love lust when hold arms nothin common bout  there nothin common bout there nothin common bout  flaws imperfections that makes love more spiritual connection know fuckin beautiful refrain damned this somethin real somethin right never love never felt  need chest warm time take away breath written lips nothin common bout ordinary world nothin enough everything gray mistakin love lust when hold arms nothin common bout  there nothin common bout there nothin common bout bridge wanna feel love just give trust common cause common enough  ordinary world nothin enough everything gray mistakin love lust when hold arms nothin common bout  there nothin common bout there nothin common bout there nothin common bout there nothin common bout,2018-12-14,Icarus Falls (Reissue),2018,163
Love Like This, love show show when show back ever roll roll roll name black clothes stare hips hair like that zone zone zone zone like  wanna waste time wanna waste time cause crown wanna take time everything line would rather dead gonna mean life that lived without baby  guess that love like this usually never wanna jump like this think wanna dump chips cause cannot back guess that faith like this give everything skate like think gotta take risk cause cannot back  lovin what line never make back make back make back chase fine doesn matter left right your direction mind zone zone zone zone like  wanna waste time wanna waste time cause crown wanna take time everything line would rather dead gonna mean life that lived without baby  guess that love like this usually never wanna jump like this think wanna dump chips cause cannot back guess that faith like this give everything skate like think gotta take risk cause cannot back post  kiss wrapped four jack know that cannot back kiss wrapped attached know that cannot back bridge wanna waste time crown everything line would rather dead gonna mean life lived without baby  guess that love like this usually never wanna jump like this think wanna dump chips cause cannot back guess that faith like this give everything skate like this think gotta take risk cause cannot back  baby cannot back think gotta take risk cause cannot back,2023-07-21,"BRAVO Hits, Vol. 123",2023,247
BoRdErSz, border border border border  life party border stick knife body border border somethin always wanted border good cause doin good border border  wind blows care just like ocean change they know know long hold like commotion  take break walls right wanna wanna cool cross lines lost right wanna post  right border border give this give border border fallin need proof border border  beautiful insanity border border like movie change scene border border taste sweet profanity border border good cause think doin good border border  they know know long hold like commotion  take break walls right wanna wanna cool cross lines lost right wanna post  right border give this give fallin need proof right border bridge give this give fallin need proof border give this give border border fallin need proof border  take break walls right wanna wanna cool cross lines lost right wanna post  right border give this give border border fallin need proof border right border give this give border border fallin need proof border right border,2016-03-25,Mind of Mine (Bonus Edition),2016,179
Windowsill, zayn fuckin countertop window floor mind swear type roll flow fuckin countertops elevated could blind give anything want never know come back more  zayn done cause right here waitin right time call back  zayn cigarett fuckin windowsill yeah gettin here only thing wanna know away cigarettes fuckin windowsill break glass show really feel deep that show love  zayn lookin like lookin soul stoppin maybe could somethin want flow fuckin countertops elevated could blind give anything want never know come back more  zayn done cause right here waitin right time call back  zayn cigarettes fuckin windowsill yeah tell gettin here only thing wanna know away cigarettes fuckin windowsill break glass show really feel deep that show love  devlin your cigarettes windowsill left night before take never light night comes want more play dumb rain comes pour want fake love just real freak board waitin impatient station when body curse damnation salvation girl could walk hell sure tempt satan devil herself  zayn devlin cigarettes fuckin windowsill yeah tell gettin here only thing wanna know away away cigarettes fuckin windowsill break glass show really feel show deep that show love away,2021-01-15,Nobody Is Listening,2021,196
Sour Diesel, walks place hands waist thigh shooter game before murdered gain promised kill again  know takin like rocket spaceship high stop like sour diesel stop feelin stop feet feels like dreamin didn feel seep burn burn burn  like sour diesel burn burn burn like sour diesel burn burn burn stop feelin burn burn burn stop feet like sour diesel burn burn burn burn burn burn like sour diesel  lips face back place legs dirty again smokin more space touches there again  know takin like rocket spaceship high stop  like sour diesel burn burn burn like sour diesel burn burn burn stop feelin burn burn burn stop feet like sour diesel burn burn burn burn burn burn like sour diesel burn burn burn feels like heat yeah when flame burn burn burn stop heat yeah stop feet burn burn burn like sour diesel stop feelin burn burn burn stop bridge cause burnin around glad found cause burnin around glad found yeah yeah yeah yeah  like sour diesel burn burn burn like sour diesel burn burn burn like sour diesel burn burn burn like sour diesel like sour diesel burn burn burn yeah burn burn burn burn burn stop feelin burn burn burn yeah sour diesel burn burn burn like sour diesel burn burn burn burn burn burn burn burn,2018-07-18,Icarus Falls (Reissue),2018,224
No Candle No Light, nicki minaj young money  nicki minaj zayn hand hand chest chest tangled feeling less know love free make believe sell dreams morning light gotta gotta gotta face fire fire longer blazin  zayn nicki minaj woke wrong side even know left handle love handle lies friend zone love quit burning time woke wrong side  zayn nicki minaj candle light candle light candle light  zayn nicki minaj baby losing really fooling this agree disagree things meant wanted morning light gotta gotta gotta face fire fire longer blazin  zayn nicki minaj woke wrong side even know left handle love handle lies friend zone love quit burning time woke wrong side  zayn nicki minaj candle light candle light candle light bridge zayn nicki minaj gotta gotta gotta face fire fire longer blazin  zayn nicki minaj candle light candle light candle light  nicki minaj switch lane switch lane watch gyal switch lane this here nicki zayn zayn seen,2018-11-15,Icarus Falls (Reissue),2018,162
Back To Life,  what changed mind what said over flying long remember like sober what lost lives what said game over what forget lines lose composure  honestly that watching gives oxygen gets hard breathe wrong right always side lose fight  know bring back bring back bring back life bring back bring back bring back life  what never what never cause burning long world keeps getting colder  honestly that watching gives oxygen gets hard breathe wrong right always side lose fight  know bring back bring back bring back life bring back bring back bring back life bridge nobody like around world seen girls places seen faces nobody like  honestly that watching gives oxygen gets hard breathe wrong right always side lose fight know bring back life,2018-12-14,Icarus Falls (Reissue),2018,130
I Won’t Mind*, cause watchin right start know mind even though know never mine  look around cause love blind darlin right feelin proud without doubt feel  cause watchin right start know yeah know mind even though know never mine mind even though know never mine  messed around until found thing said could never ever died allowed talk gotta tell  cause watchin right start know yeah know mind even though know never mine mind even though know never mine,2015-03-30,,2015,80
Flight Of The Stars, armageddon girl there goodbyes follow hold close standing edge tomorrow still deep rush still follow  feeling high touch body that feel soul inside body believe eyes swear glow follow close fingertips touch want body fingertips touch want  want ever wanted front right front what done never done this could  armageddon girl there goodbyes follow hold close standing edge tomorrow still deep rush still follow  feeling like deserve somebody burn bright blind somebody following flights stars cars home  want ever wanted front right front what done never done this could  armageddon girl there goodbyes follow hold close standing edge tomorrow still deep rush still follow bridge long feeling same follow flames long feeling same follow flames  armageddon girl there goodbyes follow hold close standing edge tomorrow still deep rush still follow,2018-12-14,Icarus Falls (Reissue),2018,138
Insomnia, roaming strolling streets burning eyes slept weeks testing torment future bleak lost moment with words speak  find peace find peace  fool waiting what never come back what never come back there nothing made another made another tune what never know hearts deceive night calls dreamers  sleep stolen searching thieves these memories head vivid  find peace find peace close eyes feel again find peace  fool waiting what never come back what never come back there nothing made another made another tune what never know hearts deceive night calls dreamers bridge insomnia close eyes feel again insomnia close eyes feel again  fool waiting what never come back what never come back there nothing made another made another tune what never know hearts deceive night calls dreamers,2018-12-14,Icarus Falls (Reissue),2018,131
Connexion, funny come mind that that feel little closer just started thinkin like force explain work like magnet babe thought next moment givin feelin  could suspicion maybe overthinkin thinkin like come picture when start feel like something missin missin  wanna miss another love gonna dive right head first unknown unknown unknown like know like know baby could keep wanna stop words nough feels like drug really fuck post  call digital physical conn ction yeah yeah call digital physical connection  love every single night that feel love that take clothes stay bedroom cause always brain away leavin next mornin give feelin  could suspicion maybe overthinkin thinkin like come picture when start feel like something missin missin  wanna miss another love gonna dive right head first unknown unknown unknown like know like know baby could keep wanna stop words enough feels like drug drug drug really fuck post  call digital physical connection yeah yeah call digital physical connection,2021-01-15,Nobody Is Listening,2021,163
SHE DON’T LOVE ME, need question time asking know  kinda hard walk right when walking left with high heels sexy dress talking phone phone wish could seen gone love  think know love that fuck right think know love that fuck right post  want body want body mine  want question time asking know  kinda hard walk right when walking left with high heels sexy dress talking phone phone wish could seen gone love  think know love that fuck right think know love that fuck right post  want body want body mine bridge should wait morning loud eyes escape feeling your body mine  think know love that fuck right think know love that fuck right post  want body want body mine,2016-03-25,Mind of Mine (Bonus Edition),2016,125
BLUE, clouds angels sing eyes wanna smile knows need loving knows need touching plays heart emotion give love devotion gives thoughts notion need body needs need somebody love blue bridge wrong long said wrong long wrong long  clouds angels sing smile yeah eyes wanna knows need loving knows need touching plays heart emotion give love devotion gave thought notion need body needs  need somebody love love blue love blue love blue love blue,2016-03-25,Mind of Mine (Bonus Edition),2016,75
Tonight, just talk know sayin give that girl know stayin where goin feel space mine said goin every space time  love tonight speak mind take time know mine know mine  love like tomorrow like there time love love like tomorrow never gonna come love like tomorrow like there time love love like tomorrow never gonna come  tell always different mornin last night side space time wanna fall eyes there point stallin there nothin hide right priceless things protection keeps alive right right  love tonight speak mind take time know mine know mine  love like tomorrow like there time love love like tomorrow never gonna come bridge matter when feelin yourself know thinkin  love tonight speak mind take time know mine know mine  love like tomorrow like there time love love like tomorrow never gonna come love like tomorrow like like tomorrow like there time love love like tomorrow never gonna come,2018-12-14,Icarus Falls (Reissue),2018,158
PILLOWTALK (Remix), wayne zayn yeah paradise yeah zone  zayn wayne climb board mula baby slow high tempo yeah light dark hold hard mellow  zayn wayne seeing pain seeing pleasure nobody body body bodies together love hold close tonight always love wake next  zayn wayne piss neighbors tunechi baby place feels tears place lose fears yeah reckless behavior come place pure dirty yeah fucking fighting paradise zone paradise zone paradise zone  wayne zayn pillow talk fuckin fightin fuckin fightin yeah fuck love like husband wifey makin through bedroom fuss fuck truce yeah somethin there nothin ugly cute love proof never chucking deuce never comin unloose tongue noose thumb boose make jump roof touchin moon love spoon when cummin through  zayn wayne piss neighbours yeah place feels tears place lose fears tunechi yeah reckless behavior yeah mula baby place pure dirty yeah fucking fighting yeah paradise zone paradise paradise zone  zayn wayne anybody knows that game goes weeks somebody many seeds gotta grow conceive goal felt seed more fuck times cause bored yeah standin halls great shine they dreams reason mind woulda held back woulda told would told woulda stayed night probably know right there stuff comes next hahaha interlude wayne paradise zone paradise zone  zayn wayne piss neighbours place feels tears place lose fears yeah reckless behavior tunechi baby place pure dirty yeah fucking fighting paradise zone paradise zone yeah paradise zone,2016-02-25,Mind of Mine (Bonus Edition),2016,237
I Don’t Mind, mind falling means again like dream trying fight against mind wishing dancing dark again light blows wanna spend time issue never grow  when with with with when never comes when with with with when find lost girl never running fuck anybody else there  know back side mind tell lies mind tell night when when know know playing mind mind tell lies mind tell night when mind  mind waiting need time love again want nothing just little something pain mind wishing dancing dark again light blows wanna spend time issue never grow  when with with with when never comes when with with with when find lost girl never running fuck anybody else there  know back side mind tell lies mind tell night when when know know playing mind mind tell lies mind tell night when mind bridge really mind love been waiting sign night really mind love girl know  know back side mind tell lies mind tell night when when know know playing mind mind tell lies mind tell night when mind,2018-12-14,Icarus Falls (Reissue),2018,178
