title,lyrics,release_date,Album,release_year,Word Count
I LUV IT, camila cabello supersonic yeah orbit yeah diabolic bottle rocket yeah carpet yeah threw back caught soprano baby leads gotta follow blackin spiral yeah need tomorrow  camila cabello love love love love love love love love love love love love love love love love love love love love love love love love love love love post  choir gucci mane mons chain cuts yeah lemons chain cuts yeah yeah lemons face watch freeze lemons face watch freeze  camila cabello super twisted sick addicted addicted kiss hard someday miss this meteor shower power seein stars  camila cabello love love love love love love love love love love love love love love love love love love love love love love love love love love love post  choir gucci mane lemons chain cuts yeah yeah lemons chain cuts yeah yeah lemons face watch freeze lemons face watch freeze lemons chain cuts cuts yeah yeah lemons chain cuts cuts yeah yeah lemons face watch freeze lemons face watch freeze bridge playboi carti camila cabello slow down baby  playboi carti camila cabello road grown grown tryna take time lone novocaine numb drugs movin mary jane feel burnt like aventador ridin round perm aventador ridin round perm pink cups worm high fuck sherm like clermont leave nigga face down fuck around bitch nigga find hope know need flashlight tryna follow round told paper like control control yeah love says young wait right here yeah love says young wait right,2024-03-27,"C,XOXO (Magic City Edition)",2024.0,248
Bam Bam, camila cabello said hated ocean surfin said love life sold house kids start guess grown couldn ever imagine even havin doubts everything works  camila cabello dancin strangers could casually datin damn changin fast  camila cabello vida yeah that life baby yeah love came around knocked down back feet vida yeah that life baby barely standin dancin goza post  camila cabello vida  sheeran hell year thank made yeah ridin wave trying drown surface held together underneath sorta came unwound where would need world baby hold down always hold down  sheeran sheeran camila cabello well breaker broken every mistake turned moments wouldn take anything back  both camila cabello sheeran vida yeah that life baby yeah love came around knocked down back feet vida yeah that life baby barely standin dancin post  camila cabello sheeran camila cabello nganle gente bridge camila cabello sheeran sigue bailando sigue bailando keep dancin yeah sigue bailando keep dancin yeah sigue bailando amor todos lados sigue bailando keep dancin yeah sigue sigue sigue bailando sigue bailando amor todos lados sigue bailando woah sigue sigue sigue bailando  camila cabello camila cabello sheeran vida yeah that life baby yeah love came around knocked down back feet vida yeah that life baby barely standin dancin  camila cabello sheeran dancin keep dancin yeah dancin keep dancin yeah dancin keep dancin yeah dancin keep dancin yeah dancin keep dancin yeah yeah yeah yeah,2022-03-04,Familia,2022.0,240
Living Proof, promise  tell something hands slow when touch paint like gogh wanna study every inch trust make angels come through  like choir singin hallelujah when body crashin right when align yeah feel feel cause breathe  where come from baby sent save there every move livin proof hands shake soft touch break there every move livin proof  count freckles spine show demons might show mine time yeah yeah hidin what design yeah yeah wanna dive what divine moment feel feel cause breathe  where come from baby sent save there every move livin proof hands shake soft touch break there every move livin proof bridge like choir singin hallelujah yeah choir singin hallelujah like choir singin hallelujah hallelujah hallelujah choir singin hallelujah body crashin right feel feel cause breathe  where come from baby sent save there every move livin proof hands shake soft touch break there every move livin proof  like choir singin hallelujah baby babe yeah choir singin hallelujah baby please like choir singin hallelujah hallelujah livin proof,2019-11-15,Romance,2019.0,174
Something’s Gotta Give, loving thought higher your november rain could night fire night fire could burn long counterfeit emotions skin deep know lyin lyin next next gone  know know know  something gotta give something gotta break give take something gotta change know reason stay good reason good reason  never heard silence quite loud walk room make sound make sound good makin feel small hurt still kill half alive half alive gone  know know know  something gotta give something gotta break give take something gotta change know reason stay good reason good reason bridge know know think breakin right know know think breakin right  something gotta give something gotta break give take something gotta change something gotta change know know reason stay good reason yeah good reason  something gotta give,2018-01-12,Camila [Target Exclusive],2018.0,134
Easy,  tell complicated might understatement anything else tell that indecisive fickle hide anything else tell overthink ruin good thing anything else tell rather fight than spend single peaceful night with somebody else  really really know future mazes madness mind really really love know love kind thing always hoped find yeah  always thought hard love made seem easy seem easy always thought hard love made seem easy seem easy touch find feeling tell hands never leaving always thought hard love made seem easy seem easy  never liked crooked teeth tell favorite thing anything else stretch marks around thighs kiss change mind about everything else  really really know future mazes madness mind really really love know love kind thing always hoped find  always thought hard love made seem easy seem easy easy yeah always thought hard love made seem easy seem easy easy yeah touch find feeling tell hands never leaving never always thought hard love love yeah made seem easy seem easy bridge know heal broken heal broken know saved know saved know saved know  always thought hard love made seem easy seem easy always thought hard love made seem easy seem easy made made touch find feeling tell hands never leaving tell hands always thought hard love made seem easy seem easy,2019-10-11,Romance,2019.0,219
She Loves Control, cold cause before doesn anymore looking back many lovers scarred want back  loves control wants there ever stay unless give give loves control wants takes taste wanna give give  bold know lives thrill know lusts kill come back taming storm warned cause like that like that  cause loves control wants there ever stay unless give loves control wants takes taste wanna give give give love post  loves control control loves control control bridge want kills makes feel alive know feels right  loves control wants there ever stay unless give loves control wants takes taste wanna give post  loves control control loves loves loves loves know loves live without loves control control control,2018-01-12,Camila [Target Exclusive],2018.0,119
All These Years, your hair grown little longer your arms look little stronger your eyes remember your smile little softer  yeah never prepared moment like that yeah second came back came back  cause years still feel everything near quick hello probably never know still years yeah  couldn help overhear sounds like happy kiss like kissed wish loved like miss  yeah never prepared moment like that yeah second came back came back  cause years still feel everything near quick hello probably never know still years cause years still feel everything near near quick hello probably never know still years bridge yeah yeah never told yeah yeah yeah told yeah yeah never told years yeah yeah  told never told never told told never told never told years,2018-01-12,Camila [Target Exclusive],2018.0,129
First Man, gonna stay tonight mornin course drink drive like really kind funny like sometimes found someone really like maybe first time  need jacket cold tonight worry waitin outside  swear heart good know stay late waitin held tight someone else first really loved  driving airport pick anymore eight days comin come home four  yeah family they like makes really happy think might  swear heart good promise loves never hurt held tight someone else first really loved driveway faking smile wish could tell deserve stop turn around tell first really loved post  bridge open doors never seen before never looked beautiful know always little girl  looking walking aisle with tears eyes maybe deserves even know much means that first really loved really loved really love,2019-12-06,Romance,2019.0,130
This Love,  know make miss when feelin sentimental goin separate ways wind back middle losin face love worse waitin case hurt  said last time just like last time yeah tired building walls yeah just watch fall again  fuck love callin name veins need space walk away know fuck make okay guess that game gets played again again again again  maybe free maybe really want maybe wanna person lose gonna leave need know love  said last time just like last time yeah tired building walls yeah just watch fall again  fuck love callin name veins need space walk away know fuck make okay guess that game gets played again again again again bridge maybe free maybe really want maybe wanna person lose fall again  fuck love yeah yeah callin name veins veins need space walk away know fuck make okay guess that game that game gets played again again again again again  again here,2019-12-06,Romance,2019.0,160
In the Dark, blank stares faithless vampires places shadows traces know feel refrain runnin runnin runnin runnin making rounds fake friends runnin runnin away strip without showing skin yeah  scared emotions hoping hopeless show show looking distractions tired acting show  dark show scary parts alone feel like home dark  plus guest list even know name secrets endless know feel refrain runnin runnin runnin runnin making rounds fake friends making runnin runnin away away strip without showing skin  scared emotions hoping hopeless show show looking distractions tired acting show  dark show scary parts alone feel like home dark bridge darling come darling strangers gone they gone said darling come darling promise tell  dark show scary parts alone alone feel like home yeah dark  dark dark dark dark,2018-01-12,Camila [Target Exclusive],2018.0,131
