title,lyrics,release_date,Album,release_year,Word Count
Ya Ya, yeah yeah cocky like that yeah yeah like like that yeah yeah yeah yeah flict yeah yeah petty like that yeah yeah take like that yeah yeah yeah yeah  bitch down crown stackin green sippin brown smokin long yeah yeah yeah what know bout killa sound yeah spin round skin shell down yeah yeah yeah  body nice body nice  yeah yeah cocky like that yeah yeah like like that yeah yeah yeah yeah yeah yeah petty like that yeah yeah take like that yeah yeah yeah yeah  bubble wine pussy tight perfect time pass light body high yeah yeah yeah certified nothin nice yeah proper cash proper proper vibe yeah yeah yeah yeah  body body body nice body body body nice body body  yeah yeah cocky like that yeah yeah like like that yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah petty like that yeah yeah yeah yeah yeah yeah yeah take like that yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah bridge ever friend proper keepin cool worried bout bitches worried bout bitches like yeah better fall line  yeah yeah cocky like that yeah yeah like like that yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah body nice yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah petty like that yeah yeah yeah yeah yeah yeah yeah take like that yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah body nice yeah yeah yeah yeah yeah yeah yeah yeah,2023-08-22,JUICE COUNTY: VOLUME 1,2023,282
Dancing Like A White Girl, dinah jane hansen tonight wearing best dress tonight putting dancing shoes  dinah jane hansen first time ready knocked feet sexy every girl dancefloor trying compete  background singer dinah jane hansen soon stepped above woah they took started backing backin bring attention show stuff post  dinah jane hansen started dancing like white girl started dancing like white girl started dancing like white girl started dancing like white girl  dinah jane hansen wondering superman yeah yeah insult know know  dinah jane hansen even snap wiggle walk lock pause drop baby work gotta eyes stay changed plan because  background singer dinah jane hansen soon stepped above woah they took started backing backin bring attention show stuff post  dinah jane hansen started dancing like white girl started dancing like white girl started dancing like white girl started dancing like white girl bridge dinah jane hansen many girls here wanted dancefloor clear make disappear kick gear figure stand started dancing baby notice  background singer dinah jane hansen soon stepped above woah they took started backing yeah yeah bring attention show stuff post  dinah jane hansen started dancing like white girl started dancing like white girl started dancing like white girl started dancing like white girl started dancing like white girl started dancing like white girl started dancing like white girl started dancing like white girl  dinah jane hansen dancing dancing like white girl dancing like white girl notice,2011-09-20,,2011,244
Road Less Traveled, might ready other side sign know headed started nonchalant yeah talkin phone long might young ready  want ordinary girl know bout your ordinary girls girls baby believe completely yeah mean yeah  said road less traveled gotta wanna happy gotta down yeah yeah know know ways could highs lows baby road less traveled gotta down post  with with with with  send flowers weekend even need them pretend like them yeah make easy cause never easy really hard please yeah  want ordinary girl know bout ordinary girls girls baby believe completely yeah mean yeah  said road less traveled gotta wanna happy gotta down yeah yeah know know ways could highs lows baby road less traveled gotta down yeah yeah post  with with with with bridge yeah yeah  want ordinary girl girl know bout ordinary girls girls baby believe completely mean  said road less traveled gotta wanna happy gotta down down yeah know know ways could highs lows baby road less traveled gotta down post  with with with with with with with,2024-07-16,JUICE COUNTY: VOLUME 1,2024,180
LET’S GO, baby baby love think know that  dinah jane like moon love strong overseas lift lift knee yeah matter wanna love forever indefinitely  dinah jane jking tropics around world need real walk road like tempo baby nice slow wanna feel pain heal heart wanna feel pain keep safe scars  jking jking dinah jane lover strong strong other there case drama brrup mama matter much money baby could never heart really loves honey steady make hustling yeah girl yeah fine  dinah jane jking tropics around world need real walk road like tempo baby nice slow wanna feel pain heal heart wanna feel pain keep safe scars brrup  young baby peace feel least promise give need beat lookin longer seek show better tell mama love keep guessin long page stressin ready deliver though well soon pass line girl that easy code bridge jking dinah jane puttin love like morning come that goin give body need pickin body make baby hear callin yeah makin body like steamin tell girl seein dreamin dreamin special love kind believe blessin blessin like give sneezin yeah yeah  dinah jane wanna feel pain heal heart heal heart heal heart wanna feel pain keep safe scars safe scars safe scars  dinah jane tropics around world tropics need real walk road like tempo baby nice slow yeah tropics around world need real walk road like tempo baby nice slow slow like that  young wanna feel pain heal heart keep killin know locked time wanna feel pain keep safe scars thinkin could city jking,2024-08-21,JUICE COUNTY: VOLUME 1,2024,261
Ocean Song, skorch  wanna wanna know nothing keep apart move feet beat heart wanna wanna wanna wanna arms ride storm calm move feet beat heart wanna wanna  feels like thousand years nothing else tears  wanna tonight follow stars bright sail arms tonight under moonlight moonlight cause risin sign ride ocean song where belong post  wanna wanna wanna wanna need yeah wanna wanna wanna wanna  wanna wanna light light dark like embers drifted apart wanna wanna wanna wanna light light until fire started movin feet move feet beat heart move feet heart wanna wanna wanna  feels like thousand years nothing else tears  wanna tonight follow stars bright sail arms tonight under moonlight moonlight cause risin star ride ocean song where belong post  wanna wanna wanna wanna wanna wanna wanna wanna wanna wanna wanna  yeah wanna,2024-05-17,JUICE COUNTY: VOLUME 1,2024,142
Something About You,there something makes smile somethin makes heart stop catch face know somethin somethin seen around tryna afraid side would chance tell feel want tell want tell make feel alone your voice perfect tone love never said make shine always mind finally shine busy sayin whats mind blind,2011-12-29,,2011,47
TELL ME, dinah jane tone stith dinah jane tell tell tell tell  dinah jane tone stith fire eyes everytime know wrong right over again girl still fuckin pride miss days know want actin right gotta  tone stith dinah jane tone stith dinah jane tell tell tell tell want tell want want tell tell tell girl tell want tell want want made fight night right tell tell tell tell tell want tell want  dinah jane givin love makin trip good gettin want everytime fall hittin different yeah yeah know keeps comin back love makin scene front friends benz bring then forcin issue through want shit girl menu  tone stith dinah jane tone stith dinah jane tell tell tell tell tell tell want tell want want tell tell tell tell tell girl tell want tell want want made fight make night right tell tell tell tell tell tell tell want tell want bridge tone stith dinah jane girl know doin know doin girl know doin okay maybe know doin girl know doin know pick fight woah yeah love  tone stith dinah jane tone stith dinah jane tell tell tell tell tell tell tell want tell want tell tell tell tell tell girl tell want tell want yeah made fight make night woah right baby tell tell tell tell tell tell want tell want  dinah jane tone stith dinah jane tone stith tell want babe yeah tell tell want babe yeah yeah yeah tell want babe yeah tell tell want babe yeah tell want babe yeah tell want babe yeah tell,2024-08-30,JUICE COUNTY: VOLUME 1,2024,263
This One’s For You Haters, heard typing things lately help keep smile face makes happy know mind telling never replaced dedication haters  this this this only this only this especially wanna take time thank making famous famous  wonder love life much even comment twice said telling never replaced dedication haters  this this this only this only this especially wanna take time thank making famous famous bridge thank bringing together forever dreams face dislike  this this this only this this this especially wanna take time thank making famous famous,2013-09-19,,2013,88
No Rush, headaches people time advice live life they young dumb fool like things  they left imma right they tell nine tell night they think know best fine  knew fall love waiting till grown take rush rush rush yeah knew fall love waiting till grown take rush take rush rush yeah  really matter things please fair know young that mean right hurting tell fine  really mean right imma tell right want still going life  knew fall love waiting till grown take rush rush rush yeah knew fall love waiting till grown take rush take rush rush yeah bridge know said take time know said please choose wise know want best ahead rest life know trust enough love believe rush need look over look shoulder just count count yeah need look over look shoulder just count count yeah  knew fall love waiting till grown take rush take rush rush yeah knew fall love waiting till grown take rush take rush rush yeah,2012-05-18,,2012,166
CINDERELLA STORY,  need cinderella story sweep feet type love yeah that somethin handle gone yeah cinderella story yeah yeah that somethin woah yeah yeah  cause learn number always somethin well baby none less need princess treatment that anything need there want knight shinin armor type ring mean  want vacations private jets time mindin alright knowin there thin  need cinderella story sweep feet type love yeah that somethin handle gone yeah cinderella story yeah yeah that somethin woah bridge step step whine down keep right there right whine right there sweat body work like sweat sweat sweat bite bite back bite back bite back bite back step step whine down keep right there right there sweat body work like sweat body work like that bite bite back bite back bite back bite back back back back back  cinderella story sweep feet type love yeah that somethin handle gone yeah yeah yeah cinderella story yeah yeah yeah yeah that somethin woah  cinderella baby come catch cinderella cinderella better come catch when clock strikes midnight baby cinderella cinderella catch catch yeah tick tick tick,2024-08-30,JUICE COUNTY: VOLUME 1,2024,186
JUST US TWO, yeah flict  told watch cause might attached when back bullshit tryna open season baby time that girl city city dreams shit with play like what said baby knees call caught just know what enough tryna find  private islands baby know ride want ring want diamonds like that  keep keep yeah like that better make move everybody want taste fuck keep  like drug higher moon like really stuck like fuckin glue cause baby young break rules wanna take first date wanna skip first base yeah lately livin fast lane tryna treat like vacay bedsheets high baby autopilot  private private islands islands baby know ride yeah want ring ring want diamonds like that  keep yeah yeah keep yeah like that better make move better make move everybody want taste fuck keep,2024-08-30,JUICE COUNTY: VOLUME 1,2024,136
