title,lyrics,release_date,release_year,Word Count
Boyz, nicki minaj baddie barbie  jesy nelson love little bitter sweet recipe bein nice little borin sheets when ride know know please refrain jesy nelson like tattoos gold teeth type make feel like baddie like fire bringin baby somethin bout weak knees  jesy nelson hold criminal mama want enough know  jesy nelson like know like like stop love boys life like know like like stop love boys life  jesy nelson little attitude think kinda cute hood good damn taboo know know please like baby sashimi refrain jesy nelson like tattoos gold teeth type make feel like baddie like fire bringin baby somethin bout weak knees  jesy nelson hold criminal mama want enough know  jesy nelson like know like like stop love boys life like know like like stop love boys life  nicki minaj proceed give need bitches want come word biggie diddy mase woah like find prettier face keep dancing like total could shine shoot place prrr raspberries cherries berries edible bitches like library done read body smokin come pull lucky charms anklets cereal jesy jelly bitches actin real messy still bitch whether sporty dressy know dudes actin zesty want bestie  jesy nelson like know like gotta gotta like stop love boys life want like know like like stop love boys life  nicki minaj nicki jesy love plus ready knock motherfucker impress,2021-10-08,2021,231
Bad Thing, started another second chance fuck again know good alone feel like home favourite kind wrong familiar song  when bout forget cried last time only thing seein clearly love blind would trade common sense good time never easy fuck feelin needy gave still complete keep coming back leave  damn done thing thing know damaged goods thing thing that wanna treat good worst habits could when done thing know damaged goods  know deserve words first especially night simple text ignites flame back life make right  cause bout forget cried last time only thing seein clearly love blind would trade common sense good time never easy fuck feelin needy gave still complete keep coming back leave  damn done thing thing know damaged goods goods thing thing that wanna treat good worst habits could damn done thing know damaged goods bridge repeat delete promise better swear good part first take back heart then like care  thing knowing damaged goods thing that wanna treat good worst habits could damn done thing know damaged goods,2023-04-14,2023,176
