title,lyrics,release_date,Album,release_year,Word Count
Sledgehammer, camila meghan trainor could take pulse right would feel like sledgehammer could feel heart beat would like sledgehammer  camila admit play cool every minute that feel fever break sweat body tellin secrets told  ally meghan trainor woah struggle contain woah love that veins woah circulates woah  camila meghan trainor could take pulse right would feel like sledgehammer could feel heart beat would like sledgehammer taken beat body taken beat body lift lift take pulse right would feel like sledgehammer  lauren close together apart turnin fire waitin spark  ally meghan trainor woah struggle contain woah love that veins woah circulates woah  camila meghan trainor could take pulse right would feel like sledgehammer could feel heart beat would like sledgehammer taken beat body taken beat body lift lift take pulse right would feel like sledgehammer bridge normani ally camila meghan trainor truth stopping getting closer enough undress love comin take pulse right would feel like sledgehammer take pulse right would feel like sledgehammer hammer take pulse  camila meghan trainor ally could take pulse right would feel like sledgehammer woah could feel heart beat could feel heart beat would like sledgehammer hammer taken beat body taken beat body lift lift take pulse right would feel like sledgehammer,2014-10-28,Reflection (Japan Deluxe Edition),2014,212
Dope, camila  camila jersey tongue saying much feeling attitude that east coasting baby driving crazy just like supposed with hands could save face could break sort love  dinah tryna find words tell feel show real tryna find words  lauren camila ally know else pretty fucking dope just know thinking bout ways that wanna hold close just know know else pretty fucking dope know woah know else pretty fucking dope post  camila dinah normani already know already know  normani camila girlfriend cause comin wanna selfish help wantin know cool shit want much know true  dinah tryna find words tell feel show real tryna find words  lauren dinah camila know else pretty fucking dope just know just know thinking bout ways that wanna hold close wanna hold close just know know else pretty fucking dope dope yeah know know woah know else pretty fucking dope post  camila ally dinah normani already know already know already know already know bridge ally dinah normani ally camila what think ways make feel know think woah already know what think ways make feel know think woah  lauren normani both know else pretty fucking dope just know thinking bout ways that wanna hold close just know know else pretty fucking dope just know thinking bout ways that wanna hold close,2016-05-27,7/27 (Japan Deluxe Edition),2016,222
The Life, camila ally ally lauren fifth harmony yeah yeah yeah yeah yeah  lauren ever since young tryna right every year working towards goal sleep daylight living going rope  camila normani camila like seeing bright lights keep pour night times times double back mind  camila this life life life this life life life this life life life this life life life this life this life life life this life life life this life this life life life this life this life post  camila camila normani ally give kids eating good getting living life feeling rich yeah yeah this life best breaking betting chips living life feeling rich yeah  ally dinah level meet court side tricking whippin hard coupe what board flight other time there show gotta  normani ally normani camila dinah stress baby find getting beach dubai what pool side sipping double back mind  camila ally this life life life this life life life this life life life yeah yeah this life life life this life this life life life this life life life this life this life life life this life life post  camila camila normani ally give kids eating good getting living life feeling rich yeah yeah this life best best breaking betting chips cause life living life feeling rich breakdown camila this life living life feeling rich living life living life feeling rich bridge normani camila ally camila stress baby find getting beach dubai pool side sipping double this life  camila ally dinah this life life life yeah this life life life this life this life life life livin this life life life this life this life life life this life life life this life this life life life this life life life give give post  camila normani ally ally normani dinah give kids eating good getting give give living life feeling rich yeah this life yeah best best breaking betting chips baby living life feeling rich yeah  camila this life yeah,2016-03-24,7/27 (Japan Deluxe Edition),2016,335
Write On Me, normani pick paper write skin bring life start again there eraser flaws right  camila everything blank draw touching body like know  lauren write color outside lines love baby take time write gimme wings love never change mind post  normani dinah write write write write write write write write love write  ally friend straight chaser burns going down keeps alive tell truth like danger danger cause mine  camila everything gray draw touching body like know  lauren write color outside lines love baby take time write gimme wings love never change mind post  write write write write bridge camila could city sleep could ocean wave everything changing written face could city sleep could ocean wave everything changing written face  lauren ally write color outside lines love baby take time write gimme wings love never change mind write post  dinah camila lauren write write write write write write write write write write yeah write love write  normani lauren dinah write write write,2016-05-06,7/27 (Japan Deluxe Edition),2016,170
Big Bad Wolf, ally kiss kiss lips racing baby guilty wherever angel confess salvation carry dark  break  normani give give something believe gotta gotta even reason even gotta have gotta reason love love baby weekend come come sink teeth  dinah camila camila cause wanna talk baby hands wanna make move want shot baby cock pull gonna bite wolf cause wanna talk baby hands wanna make move want shot baby cock pull gonna bite wolf interlude camila  camila whisper secrets mine take over swing like chariot ride drunk body never sober poison tonight break camila woah  normani camila both give give something believe gotta gotta even reason even gotta have gotta reason yeah love love baby weekend come come sink teeth  dinah camila camila normani cause wanna talk baby hands wanna make move make move want shot baby cock pull gonna bite gonna bite wolf cause wanna talk baby hands wanna make move want shot baby cock pull gonna bite wolf wolf bridge lauren ally camila lauren hold back back baby give that baby come anything want hold back baby give that baby anything want  dinah camila camila dinah lauren cause wanna talk baby hands cause wanna talk wanna make move want shot baby cock pull gonna bite gonna bite wolf wolf cause wanna talk baby hands baby hands wanna make move make move want shot baby cock pull gonna bite wolf wolf,2016-05-27,7/27 (Japan Deluxe Edition),2016,237
Deliver, lauren know keep ready regular ready settin when give make sure give enough yeah know know this know know this  normani need replacement warranty never need another that guarantee overnight body that need yeah know know this know know this  dinah ally never miss know always come through show lookin like photo keep foolproof proof when call know know what  ally yeah baby knows deliver that exactly yeah baby know deliver know what comin come through through know message deliver that exactly yeah baby know deliver know know what comin come  dinah normani even gotta always done easily yeah assure back what resume yeah know know this know notice  ally never lettin never lettin heard about that come around know know this know know this  dinah ally never miss know always come through show lookin like photo keep foolproof proof when call know know  dinah ally yeah baby knows deliver that exactly yeah baby know deliver know what comin come through through know message deliver that exactly exactly gonna yeah baby know deliver deliver yeah know what comin come bridge normani ally doorstep like send back well hard please like give give that bring somethin wanna unpack reliable like  dinah ally ally never miss know always come through show lookin like photo keep full proof proof when call know know  dinah ally yeah baby knows deliver that exactly yeah baby know deliver yeah know what comin come through through know message deliver that exactly yeah baby know deliver deliver yeah deliver yeah know what comin come baby deliver yeah  dinah ally yeah,2017-08-25,Fifth Harmony,2017,273
Reflection, camila yeah  dinah camila must confess looking fresh fresh impressed head flex flex turn everybody hatin stealin show cause killin like terrio could anythin want anythin want nobody nobody ever tell need filters pictures post gram could shut internet even understand like  lauren camila make quite like like braggin know true  normani from where from must heaven rich lookin good profession think love cause sexy talkin talkin reflection post  normani talkin reflection talkin reflection talkin talkin reflection talkin reflection talkin reflection talkin talkin reflection  camila think puttin favorite perfume think dress tight could barely move think dancin uncomfortable shoes  lauren ever confused braggin know true  normani from where from must heaven rich lookin good profession think love cause sexy talkin talkin reflection post  normani talkin reflection talkin reflection talkin talkin reflection talkin reflection talkin reflection talkin talkin reflection bridge ally normani mirror mirror wall should even return call snow white snow white mirror mirror wall should even return call mirror mirror wall should even return call mirror mirror wall wall  normani from what planet must heaven okay rich lookin good profession ching think love cause sexy sexy talkin talkin reflection post  normani talkin reflection talkin reflection talkin talkin reflection talkin reflection talkin reflection talkin talkin reflection ,2015-01-30,Reflection (Japan Deluxe Edition),2015,218
I’m in Love with a Monster, lauren  lauren dinah thorn rose covered dirt covered gold trying yeah ticking want ever told cause love monster  camila dinah friends stupid mind without bored time really care conversation everythin need rather chasing chasing love monster  lauren normani ally camila dinah lauren love love love love love monster love love love love love monster love monster  dinah normani both wrap leather wrap lace breakin rules like changing game tryin ticking want ever told love monster monster  ally dinah ally dinah nana told better taste rather look face really care lame conversation everything need rather chasing chasing love monster  lauren normani ally camila dinah lauren camila love love love love love monster love love love love love monster love monster bridge lauren camila camila dinah ally sweeter gettin love worth dime cause enough leave bitter better refrain camila normani camila make crazy love love babe make crazy baby love bite baby yeah make crazy love make crazy baby love interlude dinah normani ally love monster everybody  lauren ally camila dinah know know know know everybody loves monster yeah know know know know everybody loves monster yeah yeah yeah yeah love monster love post  camila normani dinah love love monster love monster love never find another monster wanna know wanna know love monster  three four five seven eight thank goodnight,2015-08-14,Reflection (Japan Deluxe Edition),2015,228
I Lied, lauren crazy four letter word gets tossed guilty said many times before front more  lauren lauren ally that showin real that givin chills past could open eyes thought found every time  camila normani said love lied cause love never high said love lied cause everything different time post  camila said love lied cause love never high  camila foolish thought could back yeah truth truth lose never  lauren normani ally camila that showin real showin real only that givin chills givin chills past could open eyes open eyes thought found every time  camila normani said love lied cause love never high said love lied cause everything different time come post  dinah camila said love lied cause love never high bridge dinah real love that text mornin real love mary call real love real love real love that text mornin real love mary call real love real love  normani said love lied cause love never high said love lied cause love never high post  dinah camila love talkin bout real love said love lied cause love never high  dinah normani real love that text mornin real love mary call real love yeah real love that real love that text mornin real love real love mary call real love real love real love,2016-05-27,7/27 (Japan Deluxe Edition),2016,221
Miss Movin’ On, camila lauren breaking down gonna start scratch shake like etch sketch lips saying goodbye eyes finally used took record repeat killed survived comin alive  camila lauren never girl again woah never girl again woah innocence wearing thin heart growing strong call call call miss movin post  lauren normani miss movin yeah  lauren normani dinah broke glass surrounded surrounded remember remember good girl fragile more jumped fence side side whole world electrified electrified longer afraid independence independence  camila normani lauren never girl again woah never girl again woah innocence wearing thin heart growing strong call call call miss movin bridge dinah everything changing never want back finding gonna enough gonna enough gonna enough  normani ally lauren dinah never girl again woah never girl again innocence wearing thin heart growing strong call call call miss movin movin post  lauren ally camila normani miss movin miss movin miss movin yeah yeah  lauren yeah movin,2013-07-16,Reflection (Japan Deluxe Edition),2013,159
Gonna Get Better, ally gonna leave know better gonna leave know better leave money matter through gonna leave know better  camila know always think always think unsatisfied that tempted kings finest things know truth know always think unhappy paradise that wantin trees growing green know want  lauren lauren normani thought know better babe than think would need house hills need like midas midas thought know better babe than think would need house benz just want love woah  ally gonna leave know better gonna leave know better leave money matter through gonna leave know better  normani camila know always think always think unsatisfied that tempted kings finest things know truth truth know always think unhappy paradise that wantin trees growing green know want  dinah lauren thought know better babe than think would need house hills want like midas midas woah thought know better babe than think would woah need house benz just want love woah  camila ally dinah normani lauren gonna leave gonna leave know better gonna leave know better leave money money matter through gonna leave know better better bridge camila normani lauren yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah breakdown ally normani dinah gonna leave know better gonna leave know better leave money matter through gonna leave know gonna better gonna better  camila ally normani camila gonna leave know better gonna leave know better leave money money matter through gonna leave leave know better better,2016-05-27,7/27 (Japan Deluxe Edition),2016,246
Who Are You, camila  lauren normani monday sent flowers tuesday made feel stupid wednesday world ours thursday prove friday fell back love saturday talk sunday said needed space  ally camila miss crazy losing hold love baby either want need know need know  dinah ally today will pouring rain tomorrow will make smile bring sorrow gonna lost scared gonna there nobody there today cause still still same post  camila  normani lauren ally monday heart tuesday screaming wednesday part thursday mean friday shook saturday wrong sunday said needed space  ally camila camila miss crazy losing hold love baby either want need know need know  dinah today will pouring rain tomorrow will make smile bring sorrow gonna lost scared gonna there nobody there today cause still same interlude camila bridge dinah normani camila lauren ally strange thing make feel right bring much pain strange face make love hurts where where need know need know  dinah ally dinah ally today today will pouring rain pouring rain tomorrow will make smile bring sorrow gonna lost scared gonna there nobody there today today cause still still same same  camila,2013-10-18,Reflection (Japan Deluxe Edition),2013,190
