title,lyrics,release_date,Album,release_year,Word Count
Rude Hours, meet parking yeah might idea prob your quit naughty that what your body always check hard rock hotel baby here  lights unless close behind really want there safe tonight cause drinking unlocks door take floor always back more think ready  sweat drippin back feel crazy bout crazy messed forget everything else exist hours hours hours hours hours post  hours hours hours hours  like know take direction wanna fast save best last throwin back yeah love love like that mama little mama yeah hold tight make book another night keep tell baby cause none business baby know  lights unless close behind really want there safe tonight cause drinking unlocks door take floor always back more think ready  sweat drippin back feel crazy bout crazy messed forget everything else exist hours hours hours hours hours bridge sexy dress leave babe another level foreplay know take instructions take want babe that real bout down take bove clouds come down hours hours hours hours  sweat drippin back feel crazy bout crazy messed forget everything else exist hours hours hours hours hours hours hours hours hours,2019-12-06,LP1,2019,189
Depend on It, used loving touching kissing like lives depend lying crying always fighting like lives depend  putting words mouth bout down ready there still thread left could hold onto unraveling hope give last know need  find back that thing used that need  used loving touching kissing like lives depend lying crying always fighting like lives depend looking angry eyes ever make alive back loving touching kissing like lives depend  could know what hiding there behind fire eyes make worse wild words  done  used loving touching kissing like lives depend lying crying always fighting like lives depend looking angry eyes ever make alive back loving touching kissing like lives depend  break  looking angry eyes ever make alive back loving touching squeezing like lives depend,2018-08-24,First Time,2018,130
Remember, love someone love someone much makes hate them because replace still hold still hold feelings wasted maybe misplaced them  still light tunnel just hometown lights playing under wish could press reset easy forget someone gave much remember  gave much remember stuck inside mind everything reminder forget someone gave much remember  know someone well changes sudden strangers thinkin back dancing when feet mine living room floor well tell  still light tunnel just hometown lights playing under wish could press reset easy forget someone gave much remember  gave much remember stuck inside mind everything reminder forget someone gave much remember bridge wanna know wanna know still think think chills could could will forget someone gave much remember  gave much remember stuck inside mind everything reminder forget someone gave much remember gave much remember nights times stuck inside mind everything reminder everything forget someone gave much remember  wanna know wanna know still think think chills could could will forget someone gave much remember,2019-12-06,LP1,2019,168
Slow, though done turn blind tell goodnight cause means goodbye know broken know months months  pretendin done runnin round obvious yeah baby gotta rush  gonna down slow tell already already know know mind already made gimme night give gonna down slow just another minute ready before light baby hold like know that gonna down slow interlude  leave unsaid second true know broken know months months  pretendin done runnin round obvious yeah baby gotta rush  gonna down slow tell already already know know mind already made gimme night give gonna down slow just another minute ready before light baby hold like know that gonna down down slow post  down slow bridge down slow gotta rush already know that mind already made know wanna give down slow give minute cause wanna before light baby hold like know that gonna down down down slow post  down slow yeah down slow,2018-08-24,First Time,2018,154
Teardrops, teardrops fallin down face cause know love when broken  maybe words make sense could problem sorry know could friends know come softly  checkin phone tryna last night baby hatin cause hate make  teardrops fallin face again cause know love when broken teardrops fallin make love again know love when broken  break bend strugglin sunrise lately really wish could mend little things make crazy  checkin friends tryna last night what last night lately hatin cause hate make  teardrops fallin face again cause know love when broken teardrops fallin make love again swear gonna learn better post  tell room love room hold room love room hold room love love room hold  checkin phone last night hatin cause hate make  teardrops fallin face down face cause know love when broken teardrops fallin make love again know love when broken,2024-03-01,LP2*,2024,146
Home with You, yeah  walk walk dragging talked smoke spill about friends hatin heard before stress cause eyes dialled ears yours listenin sounds like still feelin tell friends  many cooks kitchen many fools listening find somewhere quiet quiet  wanna home yeah whatever want come mood wanna home yeah slow want speed home  speed joshin kiddin good reality better fantasies seen before  yelling music wanna this find somewhere quiet quiet many cooks kitchen many fools listening find somewhere quiet quiet  wanna home yeah whatever want come mood wanna home wanna home yeah slow want speed home post  home home home  many cooks kitchen many fools listening find somewhere quiet quiet  wanna home home yeah whatever want come mood wanna mood wanna home wanna home yeah slow want speed home wanna home  home wanna home wanna home home home wanna home wanna home,2018-08-24,First Time,2018,149
Tell Your Friends, defend reputation girl even make sound hold down overcome limitations just speak bring down bring down tell friends  think about every time want stay around want give something talk about loud tell loud tell without tell friends never down erase every single doubt tell friends tell your tell friends tell friends  mind cause jealousy people hate learned love cause taught like used matter cause head heart fight tear apart know know even know tell friends  think about every time want stay around want give something talk about loud tell loud tell without tell friends never down erase every single doubt tell friends tell your tell friends tell friends tell friends bridge tell friends playin games tell friends finished tell friends same last made forget tell family said tell friends invited tell friends love song helpin write tell friends playin games tell friends finished tell friends same last made forget tell family said tell friends invited tell friends love song helpin write  think about every time want stay around want give something talk about loud tell loud tell without tell friends never never down erase every single doubt tell friends tell your tell friends tell friends tell friends  fight tear apart know know even know tell friends,2019-12-06,LP1,2019,212
Heart Meet Break, heart meet break lips meet drink rock meet bottom bottom sink come love always ends over over again yeah every time  know much take only heart know much break only eyes many rivers make tell different make mistakes yeah yeah exes line line they call crazy probably right matter there always empty space where never make stay make stay  every time heart meet break break lips meet drink drink rock meet bottom bottom sink sink come love always ends over again yeah every time  know twist knife even kidding still looking maybe searching something never find give away comes back pieces every time tears rollin face rollin could wash pain away away there always empty space where never make stay  every time heart meet break break lips meet drink yeah rock meet bottom bottom sink sink come love always ends over again yeah every time heart meet break break lips meet drink drink rock meet bottom bottom sink sink come love always ends over again yeah every time  tears rolling face said again there always empty space yeah where never make stay,2019-12-06,LP1,2019,188
Weekend, yeah  said wrong meant right would know yeah faded right almost lost nerve less deserve yeah wrong made right know made right said done done  come alive weekend might weekend might might might another line demons might weekend might talk better lean keep even come alive weekend might weekend  like this yeah midnight lips every time come around there nothing nothing this that okay time gone said done done  come alive weekend might weekend might weekend another line demons might weekend yeah yeah talk better lean keep even yeah yeah come alive weekend might weekend bridge everybody vice think alone kinda last night everyone gone there thing learned only stop hurt yeah bout time realize lost fight said done done said done done yeah yeah said done never done  come alive weekend might might weekend another line demons another line might weekend talk better lean keep even keep yeah keep yeah come alive weekend might weekend come alive come alive might weekend come alive might might weekend might weekend come alive might might weekend,2019-12-06,LP1,2019,180
Say It All, yeah  want want girl know want know what want leaves shit bliss tell something real tell something real  sometimes know notice focus know wanna baby know nervous when gone everything changes walls going like strangers took forever this  baby there beauty broken walls broken walls holding back criminal criminal baby yeah baby there beauty broken walls broken walls make call make call baby  sick tired days nights around reaching somebody else know found know everyone selfish know  sometimes know notice focus know wanna baby know nervous when gone everything changes walls going like strangers took forever this  baby there beauty broken walls broken walls holding back criminal criminal baby yeah baby there beauty broken walls broken walls make call make call baby bridge sick tired days nights yeah yeah yeah yeah sick tired days nights yeah yeah yeah yeah sick tired days nights yeah yeah yeah yeah sick tired days nights yeah yeah  baby there beauty broken walls broken walls holding back criminal criminal baby yeah baby there beauty broken walls broken walls make call make call baby  girl make call make call just gotta baby,2019-12-06,LP1,2019,195
Hips Don’t Lie, like shining yeah eyes rocking back forth rocking back forth yeah love seducing wasting time afford better sure  giving unless need hope hips unless lying movin side side movin side side even need speak even need speak hope hips hope hips unless lying  right right right right  anxious acquainted take care bill chill faking animal caging wants come outside kill yeah  giving unless need hope hips unless lying movin side side movin side side even need speak even need speak hope hips hope hips unless lying  right right right right bridge know hips alone tonight tonight tonight tonight know hips alone tonight tonight tonight tonight  know giving cause need know hips lying  right right right right yeah  know hips alone tonight tonight tonight know hips alone tonight tonight,2019-12-06,LP1,2019,137
Strip That Down (Acoustic), know taking time keeping myself eyes prize watching anybody else love hard girl yeah health love cards dealt feel well  know used free people want thing that changing used wanna rowdy coke bacardi sippin lightly when walk inside party girls type ferrari gear speed girl love body grinds baby  know love music loud strip baby there people crowd dance hands body swing round baby know love music loud strip yeah yeah yeah yeah strip down girl love ground girl yeah yeah yeah yeah strip down girl love ground girl  know since yeah swept feet know need money when love beside yeah opened heart threw away girl care bout been  know used free people want thing that changing used wanna rowdy coke bacardi sippin lightly when walk inside party girls type ferrari gear speed girl love body grinds baby  know love music loud strip baby there people crowd dance hands body swing round baby know love music loud strip yeah yeah yeah yeah strip down girl love ground girl yeah yeah yeah yeah strip down girl love ground yeah yeah yeah yeah strip down girl love ground girl yeah yeah yeah yeah strip down girl love ground girl  know love music loud strip baby there people crowd dance hands body swing round baby know love music loud strip yeah yeah yeah yeah yeah yeah yeah yeah strip yeah yeah yeah yeah nothing girl strip yeah yeah yeah yeah want girl strip yeah yeah yeah yeah girl strip yeah yeah yeah yeah,2017-06-16,I Love Acoustic | Ministry of Sound,2017,257
Before It Ends, night there time talking know right going  cause running round circles days there somethin different bout call name wanna fight loving  always lose before before ends always lose before before ends  find love know lost when wrong know caused  cause running round circles days there something missing call name call name yeah lost love know lost  always lose before before ends always lose before before yeah before ends bridge love lost still feel faith gone believe never mine night innocent  always lose before before ends always lose before yeah before ends always lose before before yeah before ends  before before ends,2019-12-06,LP1,2019,109
Hurting Me, know play heart  baby last night found receipt receipt funny remember going tell keeping something from girl know slide tried  friends then something tell again thinking could settle without consequence tell lyin cause messing head  need dressing like coming home lyin time leave cause hurting work need dressing like coming home lyin time leave cause hurting work  battle walking eyes wrong gonna live life something thinking twice thinking twice think mistook another tried  friends with friends then something tell again thinking could settle without consequence tell lyin cause messing head  need dressing like coming home lying time leave cause hurting work bridge play heart play heart play heart play heart play heart play heart  need dressing like coming home lyin time leave cause hurting work need dressing like coming home lyin time leave cause hurting work yeah  play heart play heart play heart play heart play heart play heart,2019-12-06,LP1,2019,158
What Have You Done, little less high used still little uncertain everything keep hearing right supposed find that supposed mean woah  head every night down does ever easier lost dark will hear call does ever easier  look done what done telling myself look done enough what done  still littl want still little turn need wanna find someone tell could ever without coming down  head every night down does ever easier lost dark will hear call does ever easier telling myself  ohhh look done what done telling myself ohhh look done what done what done,2024-10-19,,2024,96
Trouble, never wanted tired wasted wasting life basis like keep with changes called friend said home asked said know tired option second replacement gotta said erase acting like close anymore what mind  know that goes that yeah  trouble beautiful lord lord trouble beautiful lord lord trouble wears high heeled shoes trouble looks like trouble wears high heeled shoes trouble looks like  said tryna right tell difference looking eyes always fallin type sinnin synthetics like live twice keep putting weight keep pulling faces starting feel like strangers used close weah said tryna save night gonna flip flip hold yeah  know that goes that yeah  trouble beautiful lord lord trouble beautiful lord lord trouble wears high heeled shoes trouble looks like trouble wears high heeled shoes trouble looks like  that that yeah that that yeah that that yeah that that,2019-12-06,LP1,2019,144
Sunshine, like sunshine only givin good vibes anytime roll pullin never lettin down wanna make sure know like sunshine only givin good vibes anytime roll believe found sunshine  everyone tryin same wave really somethin different must nice think rubbin  yeah step left step right want what really matters journey yeah ridin finally know belong belong  like sunshine only givin good vibes anytime roll pullin never lettin down wanna make sure know like sunshine only givin good vibes anytime roll believe found sunshine  feeling invisible yeah didn know could possible right really somethin different work think rubbin  yeah step left step right want what really matters journey yeah ridin finally know belong belong belong  like sunshine only givin good vibes anytime roll pullin never lettin down wanna make sure know like sunshine only givin good vibes anytime roll believe found sunshine like sunshine only givin good vibes anytime roll pullin never lettin down wanna make sure know like sunshine only givin good vibes anytime roll believe found sunshine  sunshine give good vibes sunshine sunshine,2021-08-27,NOW That’s What I Call Music! 110 [UK],2021,180
Nobody Else, yeah yeah  wanna that your body hella yeah wanna know taking time come side with yeah like photograph straight dream wanna know room handle that  want nobody else want nobody else want nobody else nobody else taking home  know waiting already know sure thinkin like damn chance putting hands work yeah maderas curve whoo high alert never nothing shake makes whole body hurt again  want nobody else want nobody else tell time want nobody else said nobody else nobody else taking home said nobody else yeah yeah  want nobody else want nobody else want nobody else nobody else taking home bridge crazy crazy ride faded could fate cause already know what happening  want nobody else want nobody else want nobody else nobody else taking home  want nobody else want nobody else want nobody else nobody else taking home want nobody else want nobody else want nobody else nobody else taking home,2019-12-06,LP1,2019,159
Down, take time take girl know intoxicated touch move finally myself need anybody else  baby down down baby down down there somethin bout feels weight touch body when ready started post  yeah love said baby  hard fight intentions things help make real simple complicate  finally finally baby baby need need anybody else  baby down down baby down down there somethin bout feels weight touch body when ready started post  yeah love said baby love said baby  break  yeah down down love down down down down said baby down down down down love down down down down said baby down down,2019-12-06,LP1,2019,108
Make It With You, wanna left without this didn think ever find someone wanna make yeah bitches trippin walk here different wanna make yeah best things take little time take little time baby this nothin take little time take little time baby wanna tonight promise make right wanna make love hard,2016-10-29,,2016,48
11:55,update cross sheeran stay post malone paradise bazzi what like about jonas blue look back boogie hoodie billie ellish outta head khalid john mayer town road remix little bille think like rick ross dolla shot clock ella khalid louis tomlinson streatham dave never back dennis lloyd girls need love summer walker drake burna talk khalid disclosure savage what time julia micheals niall horan liam payne rita bury friend billie ellish tired luav troye sivan switch lack guatemala sremmurd swae levithan eazy martin lucky strike troye sivan lennon stella arms around xxxtentacion pump maluma swae thank next ariana grande seasons lack khalid sunflower post malone swae love made cheryl love someone lukas graham zeze kodack black offset ruin life zara larsson suncity khalid empress queens blaze there lauv julia michaels better khalid without halsey silence toonorth almost home sugi king princess jocelyn flores tentacion start again republic logic natural imagine dragons come over internet evergreen yabba wake gucci mane bruno mars self care miller younger ruel letter nappy wonder blood orange light john mayer happier marshmello bastille beautiful bazzi girls like maroon cardi matter drake michael jackson superhero lauv slow liam payne remind usger englishman york sting dark fantasy kanye west novacane frank ocean blinded your grace stromzy mnek karaoke drake depend liam payne says john mayer alright dean lewis slow hands niall horan youth shawn mendes khalid home with liam payne jump julia michaels wanna your lover prince sweet creature harry styles,2018-01-01,,2018,242
