title,lyrics,release_date,release_year,Word Count
Angel Of My Dreams, wonder care mike somethin crazy love madly refrain angel dreams always love hate fair bittersweet always want need care interlude care care  care care funny care care care money money sellin soul psycho they lucky better like lucky honey  feels nice spotlight when camera flashy happy heaven lookin  dreams always love hate fair bitt rsweet always want need care love call star dark want need care fair post  fair fair  fair fair grind fair sushi house suit gucci never knew  feels nice feels nice spotlight spotlight when camera flashy happy heaven lookin  angel dreams always love hate fair bittersweet always want need care love call star dark want need care fair post  fair refrain angel dreams wonder care always love hate fair bittersweet always love forever swear always want need care  always love,2024-07-19,2024,143
IT girl, throw roses well that showbiz baby sugarcoat make feel sick refrain girl girl shit girl shit girl whole world whole world between hips girl  sign line baby smile show teeth goodbye autonomy body belongs pedestal watch dance dance beat till stand stand face first kitty fangs kitty claws clause contract contract gone gone girl could  throw roses well that showbiz baby sugarcoat feel sick  thing baby doll puppet string this bitch controll thing store power trip remove filthy paws filthy paws post  filthy filthy filthy refrain girl girl shit girl shit girl whole world whole world between hips girl  darling could never never never never  throw roses roses well that showbiz baby baby sugarcoat make feel sick  thing baby doll puppet string this bitch controlled thing store power trip remove filthy paws filthy paws post  filthy filthy filthy filthy ,2025-01-10,2025,149
FUFN (Fuck You For Now),  always think know best need listen talkin usually would brush something stirrin inside bones smile wave event once leave play pretend said things regret once lose head hurt know pushed edge  gettin slam door done shit before doin tonight baby back face right tell calm down words fuck drank much tonight cryin tired know goodbye tonight baby back face right tell calm down love tonight down words fuck  hand heart always first first first first even deserve deserve moved world leave back baby turn turn turn forgive words bout worst want angry text want sorry want fuckin face tell chill today  gettin slam door done shit before doin tonight baby back face right tell calm down words fuck drank much tonight cryin tired know goodbye tonight baby back face right tell calm down love tonight down words fuck bridge pray tomorrow okay okay price pride comes first till fall walk away walk away walk away walk away walk away walk away walk away walk away  gettin slam door done shit before doin tonight baby back face right tell calm down words fuck drank much tonight cryin tired tired know goodbye tonight baby back face right tell calm down love tonight down words fuck  words fuck,2025-03-14,2025,212
Fantasy, hahaha need need  passion pain pleasure shame like weird like strange fantasy babe babe babe babe  whatever floats boat help sail away sail away what sugar babe release fear judgement babe could loopy could kinky could that okay  need know dreamin dreamin wanna tell secrets bring freaky shit life want that  passion pain pain pleasure shame yeah like weird like strange fantasy fantasy babe  think time pandora unlocked think time lost tryna yeah ideas ideas welcome come here bizarre always make  need know dreamin dreamin wanna tell secrets bring freaky shit life want that  passion pain pain pleasure shame shame like weird like strange fantasy fantasy babe babe passion pain pleasure shame shame like weird like strange fantasy babe bridge babe fantasy baby like weird like want that need know dreamin dreamin baby yeah wanna tell secrets bring freaky shit life  want that yeah yeah yeah fantasy yeah like like fantasy anymore baby reality explore baby baby fantasy anymore baby reality explore baby,2024-10-18,2024,172
Midnight Cowboy, ncuti gatwa jade ladies gentlemen theys thems hold tight performance begin hahahahaha flash photography video encouraged hahahaha enjoy show refrain jade midnight here ready saddle hold down saddle fantasy leather chaps floor saddle hold down saddle  jade baby yeah real wild bitch yeah mental ride life rental editor call enninful vanilla experimental show ropes whipped know needed something could perform like tour baby clap encore  jade giddy wild wild west think bout time midnight cowboy work work work work giddy wild wild west know comes next midnight cowboy work work work work work  jade better buckle little nasty take town never find lass show back givin ginuwine neigh name better wait nothin wrong little horseplay reverse bitch girl watch down refrain jade midnight here ready blow saddle hold down saddle ecstasy ponytail grab hold saddle hold down saddle work work work work  jade giddy wild wild west think bout time midnight cowboy work work work work giddy wild wild west know comes next midnight cowboy work work work work work interlude ncuti gatwa jade they call call calamity jade work work work work work giddy giddy giddy work work work work  jade baby yeah real wild bitch yeah mental mental ride life rental rental editor call enninful vanilla experimental show ropes whipped know needed something could perform like tour baby clap encore  jade giddy wild wild west think bout time midnight cowboy work work work work yeah giddy wild wild west know comes next midnight cowboy work work work work  jade ncuti gatwa yeah work work work work giddy giddy giddy work work work work really setting work work work work barrel better hands together make clap miss jade performance hahahaha,2024-09-25,2024,289
